		PPIs	score_old	score_new	reason
MI:0276	blue native page                                 	362	3	3	
MI:0069	mass spectrometry studies of complexes           	98	5	5	
MI:0400	affinity technology                              	37	5	5	
MI:0227	reverse phase chromatography                     	4	1	1	
MI:0678	antibody array                                   	61	5	5	
MI:0416	fluorescence microscopy                          	1311	1	1	
MI:0663	confocal microscopy                              	1266	1	1	
MI:0022	colocalization by immunostaining                 	156	1	1	
MI:0021	colocalization by fluorescent probes cloning     	16	1	1	
MI:0413	electrophoretic mobility shift assay             	18	2	2	
MI:0412	electrophoretic mobility supershift assay        	3	2	2	
MI:0402	chromatin immunoprecipitation assay              	88	2	2	
MI:0254	genetic interference                             	16	0	0	
MI:0920	ribonuclease assay                               	6	7.5	7.5	
MI:0047	far western blotting                             	974	5	5	
MI:0364	inferred by curator                              	229	1	1	
MI:0493	in vivo                                          	18171	1	1	
MI:0492	in vitro                                         	19981	1	1	
MI:0018	two hybrid	112869	5	5	
       	Affinity Capture-Western                         	9318	5	5	
       	Reconstituted Complex                            	7929	10	10	
       	FRET                                             	77	6	6	
       	Protein-peptide                                  	191	5	5	
       	Co-localization                                  	166	1	1	
       	Affinity Capture-MS                              	5761	5	5	
       	Biochemical Activity                             	1043	5	5	
       	Affinity Capture-RNA                             	8	2	2	
       	Co-crystal Structure                             	360	10	10	
       	Co-fractionation                                 	287	1	1	
       	Protein-RNA                                      	8	0	0	
       	Affinity Capture-Luminescence                    	4	5	5	
       	pull-down/mass spectrometry                      	121	5	5	
MI:0825	x-ray fiber diffraction                          	7	9	9	
MI:0042	electron paramagnetic resonance                  	3	9	9	
MI:0872	atomic force microscopy                          	41	9	9	
MI:0023	colocalization/visualisation technologies        	13	1	1	
MI:1313	proximity labelling technology	147616	5	5	
MI:0401	biochemical                                      	66823	5	5	
		12957	0	0	
